task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load embedding model,2024-04-30T15:16:48,assignment3_subtasks,5263e9a1-b11e-4ade-9148-f76ea998e547,21.194268703460693,0.00019511778551457471,9.206096961672066e-06,42.5,0.0,141.20075225830078,0.0002502100800474485,0,0.0008312661890308846,0.001081476269078333,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.2,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
Filter df and preprocess text,2024-04-30T15:16:50,assignment3_subtasks,5263e9a1-b11e-4ade-9148-f76ea998e547,0.011257171630859375,1.0818118224262306e-07,8.90656129953799e-06,42.5,0.0,141.20075225830078,1.420335637198505e-07,0,4.575805670355669e-07,5.996141307553632e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.2,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
Query search,2024-04-30T15:16:50,assignment3_subtasks,5263e9a1-b11e-4ade-9148-f76ea998e547,0.6544790267944336,6.013617766225434e-06,9.19738005559004e-06,42.5,0.0,141.20075225830078,7.71688206328288e-06,0,2.561470218122395e-05,3.333158424450688e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.2,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
