task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load GLOVE embedding model,2024-05-17T15:36:10,assignment3_subtasks,c5e74e5d-48f3-45da-8dfd-9acfd364925e,24.654165029525757,0.0002269508350037025,9.205980316059633e-06,42.5,0.0,141.20075225830078,0.00029103457712464865,0,0.0009668822327485486,0.0012579168098731971,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Filter df and preprocess text,2024-05-17T15:36:11,assignment3_subtasks,c5e74e5d-48f3-45da-8dfd-9acfd364925e,0.02157735824584961,2.068952896805171e-07,9.006650210050459e-06,42.5,0.0,141.20075225830078,2.696447902255598e-07,0,8.771104652396423e-07,1.1467552554652021e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Query search,2024-05-17T15:36:12,assignment3_subtasks,c5e74e5d-48f3-45da-8dfd-9acfd364925e,0.7403557300567627,6.805196109819302e-06,9.198552129216945e-06,42.5,0.0,141.20075225830078,8.732083439826944e-06,0,2.8986969591574072e-05,3.771905303140096e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
