task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load GLOVE embedding model,2024-05-22T12:32:39,assignment3_subtasks,a1db09a2-85b5-4942-9f8b-68526b7f8b23,14.953861713409424,0.00013765164986385132,9.205504352954251e-06,42.5,0.0,141.20075225830078,0.0001765282168984413,0,0.0005864314094351357,0.000762959626333577,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Filter df and preprocess text,2024-05-22T12:32:40,assignment3_subtasks,a1db09a2-85b5-4942-9f8b-68526b7f8b23,0.012396574020385742,1.1470297309269296e-07,8.973888546279204e-06,42.5,0.0,141.20075225830078,1.5016512738334179e-07,0,4.855972305449052e-07,6.357623579282198e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Query search,2024-05-22T12:32:40,assignment3_subtasks,a1db09a2-85b5-4942-9f8b-68526b7f8b23,0.24073266983032227,2.2113599821877046e-06,9.192056595334377e-06,42.5,0.0,141.20075225830078,2.839016252093832e-06,0,9.417853806257853e-06,1.225687005835174e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
