task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load GLOVE embedding model,2024-05-17T10:50:26,assignment3_subtasks,78fded51-b8db-4672-bbc0-27464a81feb0,17.25095224380493,0.00015881747745599014,9.206159064271877e-06,42.5,0.0,141.20075225830078,0.00020365928179687923,0,0.0006766158429467169,0.0008802751247435961,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Filter df and preprocess text,2024-05-17T10:50:27,assignment3_subtasks,78fded51-b8db-4672-bbc0-27464a81feb0,0.012006998062133789,1.0713375771286351e-07,8.906692602923516e-06,42.5,0.0,141.20075225830078,1.4082888762155348e-07,0,4.529796997303735e-07,5.93808587351927e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Query search,2024-05-17T10:50:28,assignment3_subtasks,78fded51-b8db-4672-bbc0-27464a81feb0,0.5850036144256592,5.35637923011127e-06,9.19310800983241e-06,42.5,0.0,141.20075225830078,6.875832378864285e-06,0,2.281288620858957e-05,2.968871858745391e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
