task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Model and data loading,2024-04-29T19:30:13,assignment3_subtasks,6f96bf03-fd6c-44e2-a7e4-4da95e743941,16.981869220733643,0.0001563380789526429,9.206143940134839e-06,42.5,0.0,141.20075225830078,0.00020047988262441425,0,0.0006660527191816299,0.0008665326018060442,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.2,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
Filter df and preprocess test,2024-04-29T19:30:13,assignment3_subtasks,6f96bf03-fd6c-44e2-a7e4-4da95e743941,0.01027822494506836,9.358819980109529e-08,8.946924392089466e-06,42.5,0.0,141.20075225830078,1.2249416775174577e-07,0,3.962356696319766e-07,5.187298373836953e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.2,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
Query search,2024-04-29T19:30:13,assignment3_subtasks,6f96bf03-fd6c-44e2-a7e4-4da95e743941,0.6575579643249512,6.049165219453078e-06,9.200724639974109e-06,42.5,0.0,141.20075225830078,7.760641641087017e-06,0,2.576797091116982e-05,3.3528612552256865e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.2,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
