task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load GLOVE embedding model,2024-05-17T10:47:20,assignment3_subtasks,6ea3df8a-5391-4696-b0ef-b125d4920285,17.46013903617859,0.00016074266798601835,9.20615393413059e-06,42.5,0.0,141.20075225830078,0.00020612787422206669,0,0.0006848179736756948,0.0008909458478977614,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Filter df and preprocess text,2024-05-17T10:47:21,assignment3_subtasks,6ea3df8a-5391-4696-b0ef-b125d4920285,0.011660337448120117,1.045432499598392e-07,8.909061145913149e-06,42.5,0.0,141.20075225830078,1.373274458779097e-07,0,4.421227750526233e-07,5.79450220930533e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Query search,2024-05-17T10:47:21,assignment3_subtasks,6ea3df8a-5391-4696-b0ef-b125d4920285,0.6095924377441406,5.557577877919888e-06,9.199895618328654e-06,42.5,0.0,141.20075225830078,7.130173842112222e-06,0,2.3673725313847166e-05,3.080389915595936e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
