task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load GLOVE embedding model,2024-05-17T10:49:39,assignment3_subtasks,8646cffc-2278-4901-8743-471af80f86eb,16.17279052734375,0.00014887488276537806,9.205991670794217e-06,42.5,0.0,141.20075225830078,0.00019091136554876966,0,0.0006342550965857072,0.0008251664621344769,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Filter df and preprocess text,2024-05-17T10:49:40,assignment3_subtasks,8646cffc-2278-4901-8743-471af80f86eb,0.02602243423461914,2.5162794642515866e-07,9.074139595412468e-06,42.5,0.0,141.20075225830078,3.262082735697332e-07,0,1.068485972154998e-06,1.3946942457247584e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Query search,2024-05-17T10:49:41,assignment3_subtasks,8646cffc-2278-4901-8743-471af80f86eb,0.7118263244628906,6.535957829930338e-06,9.200809690057901e-06,42.5,0.0,141.20075225830078,8.384835554493792e-06,0,2.7841914713940246e-05,3.6226750268434065e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
