task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load GLOVE embedding model,2024-05-17T15:32:56,assignment3_subtasks,411c5e83-7acf-4b2a-9b8a-30b935bcafa2,27.11713457107544,0.00024964751049111886,9.206102268675538e-06,42.5,0.0,141.20075225830078,0.00032013668070236844,0,0.001063580634039613,0.0013837173147419816,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Filter df and preprocess text,2024-05-17T15:32:57,assignment3_subtasks,411c5e83-7acf-4b2a-9b8a-30b935bcafa2,0.02375316619873047,2.269881461504971e-07,8.983791359769894e-06,42.5,0.0,141.20075225830078,2.964488334126006e-07,0,9.616747803646748e-07,1.2581236137772754e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Query search,2024-05-17T15:32:58,assignment3_subtasks,411c5e83-7acf-4b2a-9b8a-30b935bcafa2,0.7225313186645508,6.646702181538247e-06,9.19827543095957e-06,42.5,0.0,141.20075225830078,8.52893789609271e-06,0,2.8311633341468294e-05,3.684057123756095e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
