task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load GLOVE embedding model,2024-05-17T15:34:05,assignment3_subtasks,3830015b-8920-47ab-9fea-cf4dcbc93b53,26.975669384002686,0.00024831418261722545,9.20590894802978e-06,42.5,0.0,141.20075225830078,0.0003184319964713521,0,0.001057895102915768,0.0013763270993871202,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Filter df and preprocess text,2024-05-17T15:34:06,assignment3_subtasks,3830015b-8920-47ab-9fea-cf4dcbc93b53,0.028057098388671875,2.7091835966183133e-07,9.05314031360988e-06,42.5,0.0,141.20075225830078,3.518188993135909e-07,0,1.1497960152838382e-06,1.5016149145974291e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Query search,2024-05-17T15:34:07,assignment3_subtasks,3830015b-8920-47ab-9fea-cf4dcbc93b53,0.8506720066070557,7.826803541145842e-06,9.200577964976298e-06,42.5,0.0,141.20075225830078,1.0041203267044494e-05,0,3.3340297143922724e-05,4.338150041096711e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
