task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load GLOVE embedding model,2024-05-17T09:58:46,assignment3_subtasks,a489a516-a024-46d2-be54-3c579b6fef12,18.494871854782104,0.0001702660512572841,9.206037988363108e-06,42.5,0.0,141.20075225830078,0.0002183421583639251,0,0.0007253887956278277,0.0009437309539917528,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Filter df and preprocess text,2024-05-17T09:58:49,assignment3_subtasks,a489a516-a024-46d2-be54-3c579b6fef12,0.009654045104980469,1.0211986725474644e-07,8.954898866970208e-06,42.5,0.0,141.20075225830078,1.3370497359169002e-07,0,4.3231320228189797e-07,5.66018175873588e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Query search,2024-05-17T09:58:49,assignment3_subtasks,a489a516-a024-46d2-be54-3c579b6fef12,0.6509110927581787,5.98853266836784e-06,9.201235731231427e-06,42.5,0.0,141.20075225830078,7.682475613223188e-06,0,2.5510069855454284e-05,3.319254546867742e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
