task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Load GLOVE embedding model,2024-05-17T15:35:07,assignment3_subtasks,412228b1-754f-49ae-9fbe-5d827c57b271,17.61885643005371,0.00016218857147345963,9.206148767435748e-06,42.5,0.0,141.20075225830078,0.00020798210716909833,0,0.0006909779271592924,0.0008989600343283908,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Filter df and preprocess text,2024-05-17T15:35:07,assignment3_subtasks,412228b1-754f-49ae-9fbe-5d827c57b271,0.011237382888793945,1.0207636539475459e-07,8.914925719535258e-06,42.5,0.0,141.20075225830078,1.340342892540761e-07,0,4.3174276954688773e-07,5.657770588009909e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Query search,2024-05-17T15:35:11,assignment3_subtasks,412228b1-754f-49ae-9fbe-5d827c57b271,4.03643798828125,3.7134687074419305e-05,9.204455329771016e-06,42.5,0.0,141.20075225830078,4.7627069387171014e-05,0,0.00015819877434471435,0.00020582584373188544,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
